n_neurons,n_layers,dropout,epochs,optimizer,loss 1,accuracy 1,loss 2,accuracy 2,loss 3,accuracy 3,loss 4,accuracy 4,loss 5,accuracy 5
512,1,0.25,5,adam,0.06493575870990753,0.9807000160217285,0.06540073454380035,0.9803000092506409,0.070744588971138,0.9778000116348267,0.070661261677742,0.9797000288963318,0.0718025341629982,0.9775999784469604
1024,1,0.25,5,adam,0.07010113447904587,0.9811999797821045,0.07145091891288757,0.980400025844574,0.07664018869400024,0.9789999723434448,0.0682600736618042,0.980400025844574,0.07108565419912338,0.9793999791145325
2048,1,0.25,5,adam,0.08362094312906265,0.9764000177383423,0.07403995096683502,0.9801999926567078,0.08549075573682785,0.9772999882698059,0.07132138311862946,0.9811999797821045,0.07700446993112564,0.9778000116348267
4096,1,0.25,5,adam,0.08752474933862686,0.9771000146865845,0.08558624982833862,0.9775999784469604,0.08571798354387283,0.9797000288963318,0.08581700176000595,0.9787999987602234,0.08421755582094193,0.9768999814987183
512,2,0.25,5,adam,0.07771952450275421,0.977400004863739,0.0711318776011467,0.979200005531311,0.0914054736495018,0.9735999703407288,0.07075057178735733,0.9794999957084656,0.08443844318389893,0.9776999950408936
512,3,0.25,5,adam,0.07469470798969269,0.9782999753952026,0.07270246744155884,0.9782999753952026,0.07734239846467972,0.9782000184059143,0.08548499643802643,0.9786999821662903,0.089961476624012,0.9753999710083008
512,1,0.0,5,adam,0.0729258581995964,0.9783999919891357,0.07272276282310486,0.9799000024795532,0.06318432092666626,0.9801999926567078,0.07527527958154678,0.9778000116348267,0.07148222625255585,0.9782000184059143
512,1,0.5,5,adam,0.06946107000112534,0.9794999957084656,0.07039198279380798,0.977400004863739,0.07029493898153305,0.979200005531311,0.07445338368415833,0.9764999747276306,0.0694681853055954,0.9786999821662903
512,1,0.25,5,RMSprop,0.07368036359548569,0.9793000221252441,0.07493872940540314,0.9796000123023987,0.07288041710853577,0.9815999865531921,0.06822827458381653,0.9810000061988831,0.07381116598844528,0.9797000288963318
512,1,0.25,5,SGD,0.19512535631656647,0.9459999799728394,0.19911804795265198,0.9437999725341797,0.19858653843402863,0.9434999823570251,0.20136511325836182,0.9413999915122986,0.1992952972650528,0.9434000253677368
512,1,0.25,10,adam,0.07182759046554565,0.9811999797821045,0.06470102071762085,0.9837999939918518,0.07024790346622467,0.9817000031471252,0.07105544954538345,0.9811999797821045,0.07580212503671646,0.9803000092506409
512,1,0.25,20,adam,0.08849233388900757,0.9843000173568726,0.08730871230363846,0.9836999773979187,0.08803026378154755,0.9824000000953674,0.08700291067361832,0.9819999933242798,0.0946577787399292,0.9829000234603882
512,1,0.25,30,adam,0.09414725005626678,0.9853000044822693,0.10491595417261124,0.9836000204086304,0.10578754544258118,0.9839000105857849,0.10354983061552048,0.9847000241279602,0.1096295565366745,0.9822999835014343
